Date,HSI Price,SSE Price,DJIA Price,FTSE Price,DAX Price,SP500 Price
19/11/2020,26356.97,3363.09,29483.23,6334.35,13086.16,3581.87
18/11/2020,26544.29,3347.3,29438.42,6385.24,13201.89,3567.79
17/11/2020,26415.09,3339.9,29783.35,6365.33,13133.47,3609.53
16/11/2020,26381.67,3346.97,29950.44,6421.29,13138.61,3626.91
13/11/2020,26156.86,3310.1,29479.81,6316.39,13076.72,3585.15
12/11/2020,26169.38,3338.68,29080.17,6338.94,13052.95,3537.01
11/11/2020,26226.98,3342.2,29397.63,6382.1,13216.18,3572.66
10/11/2020,26301.48,3360.15,29420.92,6296.85,13163.11,3545.53
9/11/2020,26016.17,3373.73,29157.97,6186.29,13095.97,3550.5
6/11/2020,25712.97,3312.16,28323.4,5910.02,12480.02,3509.44
5/11/2020,25695.92,3320.13,28390.18,5906.18,12568.09,3510.45
4/11/2020,24886.14,3277.44,27847.66,5883.26,12324.22,3443.44
3/11/2020,24939.73,3271.07,27480.03,5786.77,12088.98,3369.16
2/11/2020,24460.01,3225.12,26925.05,5654.97,11784.1,3310.24
30/10/2020,24107.42,3224.53,26501.6,5577.27,11556.48,3269.96
29/10/2020,24586.6,3272.73,26659.11,5581.75,11598.07,3310.11
28/10/2020,24708.8,3269.24,26519.95,5582.8,11560.51,3271.03
27/10/2020,24787.19,3254.32,27463.19,5728.99,12063.57,3390.68
23/10/2020,24918.78,3278,28335.57,5860.28,12645.75,3465.39
22/10/2020,24786.13,3312.5,28363.66,5785.65,12543.06,3453.49
21/10/2020,24754.42,3325.02,28210.82,5776.5,12557.64,3435.56
20/10/2020,24569.54,3328.1,28308.79,5889.22,12736.95,3443.12
19/10/2020,24542.26,3312.67,28195.42,5884.65,12854.66,3426.92
16/10/2020,24386.79,3336.36,28606.31,5919.58,12908.99,3483.81
15/10/2020,24158.54,3332.18,28494.2,5832.52,12703.75,3483.34
14/10/2020,24667.09,3340.78,28514,5935.06,13028.06,3488.67
13/10/2020,24597.5,3359.75,28679.81,5969.71,13018.99,3511.93
12/10/2020,24649.68,3358.47,28837.52,6001.38,13138.41,3534.22
9/10/2020,24119.13,3272.08,28586.9,6016.65,13051.23,3477.13
30/9/2020,23459.05,3218.05,27781.7,5866.1,12760.73,3363
29/9/2020,23275.53,3224.36,27452.66,5897.5,12825.82,3335.47
28/9/2020,23476.05,3217.53,27584.06,5927.93,12870.87,3351.6
25/9/2020,23235.42,3219.42,27173.96,5842.67,12469.2,3298.46
24/9/2020,23311.07,3223.18,26815.44,5822.78,12606.57,3246.59
23/9/2020,23742.51,3279.71,26763.13,5899.26,12642.97,3236.92
22/9/2020,23716.85,3274.3,27288.18,5829.46,12594.39,3315.57
21/9/2020,23950.69,3316.94,27147.7,5804.29,12542.44,3281.06
18/9/2020,24455.41,3338.09,27657.42,6007.05,13116.25,3319.47
17/9/2020,24340.85,3270.44,27901.98,6049.92,13208.12,3357.01
16/9/2020,24725.63,3283.92,28032.38,6078.48,13255.37,3385.49
15/9/2020,24732.76,3295.68,27995.6,6105.54,13217.67,3401.2
14/9/2020,24640.28,3278.81,27993.33,6026.25,13193.66,3383.54
11/9/2020,24503.31,3260.35,27665.64,6032.09,13202.84,3340.97
10/9/2020,24313.54,3234.82,27534.58,6003.32,13208.89,3339.19
9/9/2020,24468.93,3254.63,27940.47,6012.84,13237.21,3398.96
8/9/2020,24624.34,3316.42,27500.89,5930.3,12968.33,3331.84
4/9/2020,24695.45,3355.37,28133.31,5799.08,12842.66,3426.96
3/9/2020,25007.6,3384.98,28292.73,5850.86,13057.77,3455.06
2/9/2020,25120.09,3404.8,29100.5,5940.95,13243.43,3580.84
1/9/2020,25184.85,3410.61,28646.45,5862.05,12974.25,3526.65
28/8/2020,25422.06,3403.81,28653.87,5963.57,13033.2,3508.01
27/8/2020,25281.15,3350.11,28492.27,5999.99,13096.36,3484.55
26/8/2020,25491.79,3329.74,28331.92,6045.6,13190.15,3478.73
25/8/2020,25486.22,3373.58,28248.44,6037.01,13061.62,3443.62
24/8/2020,25551.58,3385.64,28308.46,6104.73,13066.54,3431.28
21/8/2020,25113.84,3380.68,27930.33,6001.89,12764.8,3397.16
20/8/2020,24791.39,3363.9,27739.73,6013.34,12830,3385.51
19/8/2020,25178.91,3408.13,27692.88,6111.98,12977.33,3374.85
18/8/2020,25367.38,3451.09,27778.07,6076.62,12881.76,3389.78
17/8/2020,25347.34,3438.8,27844.91,6127.44,12920.66,3381.99
14/8/2020,25183.01,3360.1,27931.02,6090.04,12901.34,3372.85
13/8/2020,25230.67,3320.73,27896.72,6185.62,12993.71,3373.43
12/8/2020,25244.02,3319.27,27976.84,6280.12,13058.63,3380.35
11/8/2020,24890.68,3340.29,27686.91,6154.34,12946.89,3333.69
10/8/2020,24377.43,3379.25,27791.44,6050.59,12687.53,3360.47
7/8/2020,24531.62,3354.04,27433.48,6032.18,12674.88,3351.28
6/8/2020,24930.58,3386.46,27386.98,6026.94,12591.68,3349.16
5/8/2020,25102.54,3377.56,27201.52,6104.72,12660.25,3327.77
4/8/2020,24946.63,3371.69,26828.47,6036,12600.87,3306.51
3/8/2020,24458.13,3367.97,26664.4,6032.85,12646.98,3294.61
31/7/2020,24595.35,3310.01,26428.32,5897.76,12313.36,3271.12
30/7/2020,24710.59,3286.82,26313.65,5989.99,12379.65,3246.22
29/7/2020,24883.14,3294.55,26539.57,6131.46,12822.26,3258.44
28/7/2020,24772.76,3227.96,26379.28,6129.26,12835.28,3218.44
27/7/2020,24603.26,3205.23,26584.77,6104.88,12838.66,3239.41
24/7/2020,24705.33,3196.77,26469.89,6123.82,12838.06,3215.63
23/7/2020,25263,3325.11,26652.33,6211.44,13103.39,3235.66
22/7/2020,25057.94,3333.16,27005.84,6207.1,13104.25,3276.02
21/7/2020,25635.66,3320.89,26840.4,6269.73,13171.83,3257.3
20/7/2020,25057.99,3314.15,26680.87,6261.52,13046.92,3251.84
17/7/2020,25089.17,3214.13,26671.95,6290.3,12919.61,3224.73
16/7/2020,24970.69,3210.1,26734.71,6250.69,12874.97,3215.57
15/7/2020,25481.58,3361.3,26870.1,6292.65,12930.98,3226.56
14/7/2020,25477.89,3414.62,26642.59,6179.75,12697.36,3197.52
